name,description,expansion,age,created_in,cost,build_time,reload_time,attack_delay,movement_rate,line_of_sight,hit_points,min_range,max_range,attack,melee_armor,ranged_armor,attack_bonus,armor_bonus,special,search_radius,accuracy,blast_radius,image,type,armor_class
Longboat,"Viking unique ship that fires multiple arrows. Strong vs. War Galleys, land units, and buildings.",Age of Kings,Castle,Dock,"{""Wood"": 80,""Gold"": 40}",25,3,9,1.54,8,130,0,6,7,0,6,"[{""amount"": 7, ""against"": ""Buildings""}, {""amount"": 9, ""against"": ""Ships""}, {""amount"": 4, ""against"": ""Rams""}]",,,8,100,0,longboat,Navy,Ship;Unique Unit
Longbowman,British unique archer with very long range. Strong vs. infantry. Weak vs. cavalry and Skirmishers.,Age of Kings,Castle,Castle,"{""Wood"": 35,""Gold"": 40}",19,2,0.35,0.96,7,35,0,6,6,0,0,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,7,70,0,longbowman,Military,Archer;Unique Unit
Magyar Huszar,Byzantine unique cavalry unit. Strong vs. infantry. Weak vs. archers.,Definitive Edition,Castle,Castle,"{""Food"": 80,""Gold"": 10}",16,1.8,0,1.5,5,70,0,0,9,0,2,,,,4,100,0,magyar-huszar,Military,Cavalry;Unique Unit
Mameluke,Saracen unique camel unit with ranged melee attack. Strong vs. cavalry. Weak vs. archers and Pikemen.,Age of Kings,Castle,Castle,"{""Food"": 55,""Gold"": 85}",23,2,0.6,1.4,5,65,0,3,7,0,0,"[{""amount"": 9, ""against"": ""Cavalry""}]","[{""amount"": 11, ""against"": ""Cavalry""}]",,5,100,0,mameluke,Military,Mameluke;Camel;Unique Unit
Man At Arms,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,Age of Kings,Feudal,Barracks,"{""Food"": 60,""Gold"": 20}",21,2,0,0.9,4,45,0,0,6,0,1,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 1, ""against"": ""Buildings""}]",,,4,100,0,man-at-arms,Military,Infantry
Mangonel,"Ranged siege weapon with area of effect attack, but cannot attack enemies at close range. Strong vs. tight groups of units. Can attack ground.",Age of Kings,Castle,Siege Workshop,"{""Wood"": 160,""Gold"": 135}",46,6,0,0.6,9,50,3,7,40,0,6,"[{""amount"": 35, ""against"": ""Buildings""}, {""amount"": 12, ""against"": ""Siege""}]",,,9,100,1,mangonel,Military,Siege Weapon
Mangudai,"Mongol unique cavalry archer with fast-firing attack. Strong vs. siege weapons and infantry. Weak vs. Skirmishers, Pikemen, and Camel Riders.",Age of Kings,Castle,Castle,"{""Wood"": 55,""Gold"": 65}",26,2.1,1,1.45,6,60,0,4,6,0,0,"[{""amount"": 3, ""against"": ""Siege""}, {""amount"": 1, ""against"": ""Spearmen""}]",,,5,95,0,mangudai,Military,Archer;Cavalry Archer;Cavalry;Unique Unit
Militia,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,Age of Kings,Dark,Barracks,"{""Food"": 60,""Gold"": 20}",21,2,0,0.9,4,40,0,0,4,0,1,,,,4,100,0,militia,Military,Infantry
Missionary,"Spanish unique mounted monk. Converts enemy units and heals friendly units. Faster than Monk but with less sight and range. Strong vs. slow, non-ranged units. Weak vs. Light Cavalry and ranged units. Cannot collect Relics.",Age of Kings,Castle,Monastery,"{""Gold"": 100}",51,1,0,1.1,9,30,0,7,0,0,0,,,,9,25,0,missionary,Military,Cavalry;Monk;Unique Unit
Monk,Converts enemy units to your civilization. Heals friendly units (except ships and siege weapons). Strong vs. slow and non-ranged units. Weak vs. Light Cavalry and ranged units. Can collect Relics and bring them to Monasteries.,Age of Kings,Castle,Monastery,"{""Gold"": 100}",51,1,0,0.7,11,30,0,9,0,0,0,,,,11,100,0,monk,Military,Monk
Ninja,Light and quick infantry. Strong vs. heroes.,Age of Empires III: The Asian Dynasties,N/A,N/A,,N/A,1.8,0,1.1,4,50,0,0,9,1,1,,,,4,100,0,ninja,Unbuildable,Infantry
Norse Warrior,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,Age of Kings,N/A,N/A,{},N/A,2,0,0.9,4,60,0,0,9,0,1,,,,4,100,0,norse-warrior,Military,Infantry
Obuch,Polish unique infantry unit which can damage the armor of units it is fighting. Strong vs. buildings and infantry. Weak vs. archers at long range.,Dawn of the Dukes,Castle,Castle,"{""Food"": 55,""Gold"": 20}",12,2,0,0.9,3,80,0,0,8,2,2,"[{""amount"": 2, ""against"": ""Eagle Warrior""}, {""amount"": 4, ""against"": ""Standard Buildings""}]",,Reduces armor and pierce armor of units by 1 each with every attack,-1,100,0,obuch,Military,Infantry;Unique Unit
Onager,"Ranged siege weapon with area of effect attack, but cannot attack enemies at close range. Strong vs. tight groups of units. Can attack ground and destroy trees.",Age of Kings,Imperial,Siege Workshop,"{""Wood"": 160,""Gold"": 135}",46,6,0,0.6,10,60,3,8,50,0,7,"[{""amount"": 45, ""against"": ""Buildings""}, {""amount"": 12, ""against"": ""Siege""}]",,,10,100,1.25,onager,Military,Siege Weapon
Organ Gun,Portuguese unique siege unit. Fires a volley of bullets. Strong vs. large groups of units. Weak vs. cavalry and Mangonels.,Age of Empires II HD: The African Kingdoms,Castle,Castle,"{""Wood"": 80,""Gold"": 56}",21,3.45,0.6,0.85,9,60,1,7,7,2,4,"[{""amount"": 1, ""against"": ""Infantry""}, {""amount"": 1, ""against"": ""Ram""}, {""amount"": 1, ""against"": ""Skirmisher""}]",,"Fires 5 bullets in a spread pattern that can hit multiple enemies. It is more effective against large groups of units, because the multiple bullets disperse in a small cone, hitting multiple units.",9,0,0,organ-gun,Military,Siege Weapon;Gunpowder Unit;Unique Unit
Ostrich,Gaia unit. Provides 140 food.,Age of Kings,N/A,N/A,,N/A,0,0,0.737,2,5,0,0,0,0,0,,,,1,100,0,ostrich,Gaia,None
Ox Cart,Civilian unit.,Age of Kings,N/A,N/A,,N/A,0,0,1,7,70,0,0,0,0,0,,,,7,0,0,ox-cart,Civilian,None
Ox Wagon,Civilian unit.,Age of Kings,N/A,N/A,,N/A,0,0,1,7,140,0,0,0,0,0,,,,7,0,0,ox-wagon,Civilian,None
Paladin,"Powerful all-purpose cavalry. Strong vs. infantry and archers. Weak vs. Halberdiers, Heavy Camel Riders, and Monks.",Age of Kings,Imperial,Stable,"{""Food"": 60,""Gold"": 75}",30,1.9,0,1.35,5,160,0,0,14,2,3,,,,4,100,0,paladin,Military,Cavalry
Penguin,Cheat unit.,The Forgotten,Dark,Town Center,,0,2,0,0.92,6,64,0,0,16,4,4,,,,-1,100,0,penguin,Cheat,None
Petard,Demolition infantry armed with explosives. Strong vs. buildings. Weak vs. other units. Self-destructs when used.,The Conquerors,Castle,Castle,"{""Food"": 80,""Gold"": 20}",25,5,0,0.8,4,50,0,0,25,0,2,"[{""amount"": 500, ""against"": ""Buildings""}, {""amount"": 100, ""against"": ""Castle""}, {""amount"": 60, ""against"": ""Siege""}, {""amount"": 8, ""against"": ""Walls""}, {""amount"": 8, ""against"": ""Gates""}]",,,4,100,0.5,petard,Military,None
Pikeman,"Anti-cavalry infantry unit. Strong vs. mounted units, especially elephants. Weak vs. archers and infantry.",Age of Kings,Castle,Barracks,"{""Food"": 35,""Wood"": 25}",22,3,0,1,4,55,0,0,4,0,0,"[{""amount"": 1, ""against"": ""Buildings""}, {""amount"": 1, ""against"": ""Eagles""}, {""amount"": 22, ""against"": ""Cavalry""}, {""amount"": 11, ""against"": ""Camels""}, {""amount"": 11, ""against"": ""Ships""}, {""amount"": 47, ""against"": ""War Elephants""}]",,,4,100,0,pikeman,Military,Infantry;Spearman
Plumed Archer,Mayan unique fast-moving archer. Strong vs. archers and infantry. Weak vs. cavalry.,The Conquerors,Castle,Castle,"{""Wood"": 37,""Gold"": 37}",16,1.9,0.5,1.2,6,50,0,4,5,0,1,"[{""amount"": 1, ""against"": ""Infantry""}, {""amount"": 2, ""against"": ""Spearmen""}]",,,6,80,0,plumed-archer,Military,Archer;Unique Unit
Photon Man,Cheat unit.,The Last Khans,Dark,Town Center,,N/A,2,,1.2,12,80,0,10,30,2,2,,,,-1,95,0,photon-man,Cheat,Archer;Unique Unit;Gunpowder Unit
Priest,Converts enemy units to your civilization. Heals friendly units (except ships and siege weapons). Strong vs. slow and non-ranged units. Weak vs. Light Cavalry and ranged units. Can collect Relics and bring them to Monasteries.,Age of Empires II HD: The African Kingdoms,Dark,Monastery;Pagan Shrine,"{""Gold"": 100}",51,62,0,0.7,11,30,0,9,0,0,0,,,,-1,100,0,priest,Unbuildable,Monk
Ratha (Melee),Bengali unique chariot that can switch between melee and ranged attacks. Strong vs. infantry. Weak vs. Skirmishers and Camel Riders.,Dynasties of India,Castle,Castle,"{""Wood"": 60,""Gold"": 60}",18,2,0.33,1.3,6,105,0,0,10,2,1,,,Can switch between melee and ranged attack modes,-1,100,0,ratha-melee,Military,Archer;Cavalry Archer;Cavalry;Unique Unit
Ratha (Ranged),Bengali unique chariot that can switch between melee and ranged attacks. Strong vs. infantry. Weak vs. Skirmishers and Camel Riders.,Dynasties of India,Castle,Castle,"{""Wood"": 60,""Gold"": 60}",18,2,0.33,1.3,6,105,0,4,5,2,1,,,Can switch between melee and ranged attack modes,-1,80,0,ratha-ranged,Military,Archer;Cavalry Archer;Cavalry;Unique Unit
Rattan Archer,Vietnamese unique archer with high pierce armor. Strong vs. archers and infantry. Weak vs. cavalry and Skirmishers.,Age of Empires II HD: Rise of the Rajas,Castle,Castle,"{""Wood"": 50,""Gold"": 45}",16,2,0,1.1,6,40,0,4,6,0,4,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,6,80,0,rattan-archer,Military,Archer;Unique Unit
Rhino,Gaia unit. Provides 400 food.,Age of Kings,N/A,N/A,,N/A,2,0,0.8,4,75,0,0,7,0,0,,,,4,100,0,rhino,Gaia,None
Royal Janissary,Turkish unique hand cannoneer with longer range and no minimum range. Strong vs. infantry. Weak vs. archers.,Age of Kings,Imperial,Castle,"{""Food"": 60,""Gold"": 55}",17,3.45,0,0.96,10,55,0,8,22,2,0,,,,10,50,0,royal-janissary,Unbuildable,Archer;Gunpowder Unit;Unique Unit
Saboteur,Cheat unit.,Age of Kings,Dark,Town Center,,0,0,0,1.35,6,45,0,0,100,1,3,,,,-1,100,2.5,saboteur,Cheat,Ship (for some reason)
Samurai,Japanese unique infantry unit with fast attack. Strong vs. unique units and infantry. Weak vs. archers.,Age of Kings,Castle,Castle,"{""Food"": 60,""Gold"": 30}",9,1.9,0,1,4,60,0,0,8,1,1,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}, {""amount"": 10, ""against"": ""Unique Units""}]",,,4,100,0,samurai,Military,Infantry;Unique Unit
Scorpion,Anti-unit siege weapon. Fires bolts that pierce multiple units. Strong vs. large groups of units. Weak vs. cavalry and siege weapons.,Age of Kings,Castle,Siege Workshop,"{""Wood"": 75,""Gold"": 75}",30,3.6,0.21,0.65,9,40,2,7,12,0,7,"[{""amount"": 2, ""against"": ""Buildings""}, {""amount"": 1, ""against"": ""Rams""}, {""amount"": 6, ""against"": ""War Elephant""}]",,,9,100,0,scorpion,Military,Siege Weapon
Scout Cavalry,Fast cavalry for scouting and raiding. Resistant to conversion. Strong vs. Monks. Weak vs. Pikemen and Camel Riders.,Age of Kings,Dark,Stable,"{""Food"": 80}",30,2,0,1.2,4,45,0,0,3,0,2,"[{""amount"": 6, ""against"": ""Monks""}]",,,4,100,0,scout-cavalry,Military,Cavalry
Serjeant,Sicilian unique infantry unit which can construct Donjons.,Lords of the West,Feudal,Castle;Donjon,"{""Food"": 50,""Gold"": 35}",12,2,0,0.9,3,65,0,0,8,3,3,"[{""amount"": 2, ""against"": ""Eagle Warrior""}, {""amount"": 2, ""against"": ""Standard Buildings""}]",,Can build and repair Donjons. Stats improve on each age up. Build/repair 25% slower in Feudal Age.,-1,100,0,serjeant,Military,Infantry;Unique Unit
Sharkatzor,Cheat unit.,Rise of the Rajas,Dark,Town Center,,N/A,2.1,0,2,11,600,0,10,33,1,0,,,,-1,95,1,sharkatzor,Cheat,Siege Weapon
Sheep,Can be picked up by player and used to scout. Provides 100 food.,Age of Kings,Dark,N/A,,0,0,0,0.7,3,7,0,0,0,0,0,,,,0,100,0,sheep,Gaia,None
Shotel Warrior,Ethiopian unique infantry with high attack and fast training speed. Fast-moving. Strong vs. infantry. Weak vs. archers.,Definitive Edition,Castle,Castle,"{""Food"": 50,""Gold"": 35}",8,2,0,1.2,3,40,0,0,16,0,0,,,,3,100,0,shotel-warrior,Military,Infantry;Unique Unit
Shrivamsha Rider,Gurjara unique light cavalry unit which can dodge projectiles. Will not dodge splash damage. Strong vs. archers. Weak vs. Pikemen and Camel Riders.,Dynasties of India,Castle,Stable,"{""Food"": 70,""Gold"": 20}",20,1.75,0,1.6,5,55,0,0,8,0,1,,,"Can ""dodge"" five (seven for Elite) consecutive projectiles in a 20 second time frame",-1,100,0,shrivamsha-rider,Military,Cavalry;Unique Unit
Siege Elephant,A mounted siege unit with high HP.,Dynasties of India,Imperial,Siege Workshop,"{""Food"": 120,""Gold"": 95}",36,3,0,0.6,4,220,0,0,4,-2,150,"[{""amount"": 105, ""against"": ""Buildings""}, {""amount"": 35, ""against"": ""Siege Weapons""}]",,Cannot be converted from distance,4,100,0,siege-elephant,Military,Cavalry;War elephant;Siege Weapon;Ram
Siege Onager,"Ranged siege weapon with area of effect attack, but cannot attack enemies at close range. Strong vs. tight groups of units. Can attack ground and destroy trees.",Age of Kings,Imperial,Siege Workshop,"{""Wood"": 160,""Gold"": 135}",46,6,0,0.6,10,70,3,8,75,0,8,"[{""amount"": 60, ""against"": ""Buildings""}, {""amount"": 12, ""against"": ""Siege""}]",,,10,100,1.5,siege-onager,Military,Siege Weapon
Siege Ram,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Age of Kings,Imperial,Siege Workshop,"{""Wood"": 160,""Gold"": 75}",36,5,0,0.6,3,270,0,0,4,0,195,"[{""amount"": 200, ""against"": ""Buildings""}, {""amount"": 65, ""against"": ""Siege""}]","[{""amount"": -3, ""against"": ""Melee""}, {""amount"": 2, ""against"": ""Ram""}]",,3,100,2,siege-ram,Military,Siege Weapon;Ram
Siege Tower,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Age of Kings,Castle,Siege Workshop,"{""Wood"": 200,""Gold"": 160}",36,4,0,0.6,8,220,1,6,6,0,100,,,,8,90,0,siege-tower,Military,Siege Weapon;Ram
Skirmisher,Ranged anti-archer unit that cannot attack at close range. Strong vs. archers. Weak vs. units at close range.,Age of Kings,Feudal,Archery Range,"{""Food"": 25,""Wood"": 35}",22,3,0.5,0.96,6,30,1,4,2,0,3,"[{""amount"": 3, ""against"": ""Archers""}, {""amount"": 3, ""against"": ""Hand Cannoneers""}, {""amount"": 3, ""against"": ""Conquistadors""}, {""amount"": 3, ""against"": ""Skirmishers""}, {""amount"": 3, ""against"": ""Spearmen""}]",,,6,90,0,skirmisher,Military,Archer
Slinger,"Ranged unit. Strong vs. units at long range. Weak vs. Elite Skirmishers, Mangonels, and units at close range.",Age of Empires II HD: The Forgotten,Castle,Archery Range,"{""Food"": 40,""Gold"": 40}",25,2,0,0.96,7,40,1,5,4,0,0,,,,7,90,0,slinger,Military,Archer;Unique Unit
Spearman,"Anti-cavalry infantry unit. Strong vs. mounted units, especially elephants. Weak vs. archers and infantry.",Age of Kings,Feudal,Barracks,"{""Food"": 35,""Wood"": 15}",22,3,0,1,4,45,0,0,3,0,0,"[{""amount"": 1, ""against"": ""Buildings""}, {""amount"": 1, ""against"": ""Eagles""}, {""amount"": 15, ""against"": ""Cavalry""}, {""amount"": 7, ""against"": ""Camels""}, {""amount"": 7, ""against"": ""Ships""}, {""amount"": 30, ""against"": ""War Elephants""}]",,,4,100,0,spearman,Military,Infantry;Spearman
Steppe Lancer,Light cavalry unit with increased attack range. Strong in groups. Weak vs. Camel Riders and archers.,Definitive Edition,Castle,Stable,"{""Food"": 70,""Gold"": 45}",24,2.3,0,1.45,5,60,0,1,8,0,1,,,,4,100,0,steppe-lancer,Military,Cavalry
Tarkan,Hunnic unique cavalry unit with attack bonus vs. buildings. Strong vs. buildings and archers. Weak vs. Pikemen and Camel Riders.,The Conquerors,Castle,Castle,"{""Food"": 60,""Gold"": 60}",14,2.1,0,1.35,5,100,0,0,8,1,3,"[{""amount"": 8, ""against"": ""Buildings""}, {""amount"": 10, ""against"": ""Castle""}, {""amount"": 12, ""against"": ""Stone Defenses""}, {""amount"": 8, ""against"": ""Walls""}, {""amount"": 8, ""against"": ""Gates""}]",,,5,100,0,tarkan,Military,Cavalry;Unique Unit
Teutonic Knight,Teutonic unique infantry unit. Slow and powerful. Strong vs. melee units. Weak vs. archers and Scorpions.,Age of Kings,Castle,Castle,"{""Food"": 85,""Gold"": 40}",12,2,0,0.7,3,80,0,0,12,5,2,"[{""amount"": 4, ""against"": ""Eagles""}, {""amount"": 4, ""against"": ""Buildings""}]",,,3,100,0,teutonic-knight,Military,Infantry;Unique Unit
Thirisadai,"Massive warship that fires five arrows at once, and is only available in the Imperial Age",Dynasties of India,Imperial,Dock,"{""Wood"": 180,""Gold"": 60}",40,3.45,0,1.3,8,250,0,6,9,2,10,"[{""amount"": 9, ""against"": ""Buildings""}, {""amount"": 4, ""against"": ""Ram""}, {""amount"": 9, ""against"": ""Fishing Ships""}, {""amount"": 9, ""against"": ""Ships""}]",,,0,85,0,thirisadai,Navy,Ship;Turtle Ship;Unique Unit
Throwing Axeman,Frankish unique infantry unit with ranged melee attack. Strong vs. infantry. Weak vs. archers and siege weapons.,Age of Kings,Castle,Castle,"{""Food"": 55,""Gold"": 25}",17,2,1.2,1,5,60,0,3,7,0,0,"[{""amount"": 1, ""against"": ""Eagles""}, {""amount"": 1, ""against"": ""Buildings""}]",,,5,100,0,throwing-axeman,Military,Infantry;Unique Unit
Tiger,Hostile Gaia unit. Provides no food.,Age of Kings,N/A,N/A,,N/A,2,0,0.7,12,25,0,0,3,0,0,,,,12,100,0,tiger,Gaia,None
Trade Cart,Used to trade with other players by land. Carries goods from your Market to another player's Market and brings back gold. The farther the Market the higher your profit,Age of Kings,Feudal,Market,"{""Wood"": 100,""Gold"": 50}",50,0,0,1,7,70,0,0,0,0,0,,,,6,100,0,trade-cart,Civilian,None
Trade Cog,Movement rate 2.00 with caravan,Age of Kings,Feudal,Dock,"{""Wood"": 100,""Gold"": 50}",36,0,0,1.32,6,80,0,0,0,0,6,,,,6,100,0,trade-cog,Civilian,None
Transport Ship,"Used to move units across water. Select the units you want to transport, then right-click on the Transport Ship to board them. Use the Unload button to unload units on the shore.",Age of Kings,Feudal,Dock,"{""Wood"": 125}",45,0,0,1.45,5,100,0,0,0,4,8,,,,5,100,0,transport-ship,Navy,Ship
Trebuchet,Powerful siege weapon used to destroy buildings and walls from long distance. Cannot fire on close units. Must be packed to move and unpacked to attack. Can cut paths through forests. Unpack time: 0:11,Age of Kings,Imperial,Castle,"{""Wood"": 200,""Gold"": 200}",50,10,0.6,0,18,150,4,16,200,1,150,"[{""amount"": 250, ""against"": ""Buildings""}]",,,18,15,0,trebuchet,Military,Siege Weapon;Ram
Trebuchet (packed),Powerful siege weapon used to destroy buildings and walls from long distance. Cannot fire on close units. Must be packed to move and unpacked to attack. Can cut paths through forests. Unpack time: 0:11,Age of Kings,Imperial,Castle,"{""Wood"": 200,""Gold"": 200}",50,0,0,0.8,18,150,0,0,0,2,8,"[{""amount"": 250, ""against"": ""Buildings""}]",,,18,15,0,trebuchet-packed,Military,Siege Weapon
Turkey,Alternative to sheep. Provides 100 food.,The Conquerors,Dark,N/A,,0,0,0,0.7,3,7,0,0,0,0,0,,,,3,100,0,turkey,Gaia,None
Turtle Ship,Korean unique ship. Slow and ironclad. Strong vs. warships and buildings.,The Conquerors,Castle,Dock,"{""Wood"": 200,""Gold"": 200}",50,6,0,0.9,8,200,0,6,50,6,5,,"[{""amount"": 8, ""against"": ""Ships""}]",,8,100,0.5,turtle-ship,Military,Ship;Turtle Ship;Gunpowder Unit;Unique Unit
Two Handed Swordsman,All-purpose infantry unit. Strong vs. buildings and infantry. Weak vs. archers at long range.,Age of Kings,Imperial,Barracks,"{""Food"": 60,""Gold"": 20}",21,2,0,0.9,5,60,0,0,12,0,1,"[{""amount"": 6, ""against"": ""Eagles""}, {""amount"": 3, ""against"": ""Buildings""}]",,,4,100,0,two-handed-swordsman,Military,Infantry
Urumi Swordsman,"An infantry unit that charges its attack over a period of time, dealing increased damage on its first attack against an enemy unit, the charged attacks also do trample damage, but not regular attacks.",Dynasties of India,Castle,Castle,"{""Food"": 65,""Gold"": 20}",9,2,0,1.05,3,55,0,0,8,1,0,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 1, ""against"": ""Buildings""}]",,"Charges its attack by +12 (+15 Elite) over 24 (20 Elite) seconds, dealing a blast attack of 50% strength in 0.75 tiles radius",0,100,0,urumi-swordsman,Military,Infantry;Unique Unit
Villager,Gathers resources. Builds and repairs buildings. Also repairs ships and siege weapons.,Age of Kings,Dark,Town Center,"{""Food"": 50}",25,2,0,0.8,4,25,0,0,3,0,0,,,,4,100,0,villager,Civilian,None
VMDL,Cheat unit.,Age of Kings,Dark,Town Center,,0,0,0,1,4,25,0,0,0,0,0,,,,-1,100,0,vmdl,Cheat,None
War Elephant,Persian unique unit. Slow and powerful cavalry. Strong vs. buildings and units at close range. Weak vs. Monks.,Age of Kings,Castle,Castle,"{""Food"": 200,""Gold"": 75}",31,2,0,0.6,7,450,0,0,15,1,2,"[{""amount"": 7, ""against"": ""Buildings""}, {""amount"": 7, ""against"": ""Stone Defenses""}]",,,4,100,0.5,war-elephant,Military,Cavalry;War Elephant;Unique Unit
War Galley,All-purpose warship with ranged attack. Weak vs. Fire Ships.,Age of Kings,Castle,Dock,"{""Wood"": 90,""Gold"": 30}",36,3,0,1.43,8,135,0,6,7,0,6,"[{""amount"": 7, ""against"": ""Buildings""}, {""amount"": 7, ""against"": ""Camels""}, {""amount"": 4, ""against"": ""Rams""}, {""amount"": 7, ""against"": ""Ships""}]",,,8,100,0,war-galley,Navy,Ship
War Wagon,"Korean unique cavalry archer unit. Strong vs. infantry and archers. Weak vs. Pikemen, Skirmishers, and Camel Riders.",The Conquerors,Castle,Castle,"{""Wood"": 200,""Gold"": 60}",25,2.5,1,1.2,7,150,0,4,9,0,3,"[{""amount"": 5, ""against"": ""Buildings""}]",,,6,100,0,war-wagon,Military,Archer;Cavalry Archer;Cavalry;Unique Unit
Wild Boar,Wild boar. Provides 340 food.,Age of Kings,Dark,N/A,,0,2,0,0.96,4,75,0,0,7,0,0,,,,4,100,0,wild-boar,Gaia,None
Woad Raider,Celtic unique infantry unit. Fast-moving. Strong vs. infantry and siege weapons. Weak vs. archers and cavalry.,Age of Kings,Castle,Castle,"{""Food"": 65,""Gold"": 25}",10,2,0,1.2,3,70,0,0,11,0,1,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}]",,,3,100,0,woad-raider,Military,Infantry;Unique Unit
Wolf,Wild wolf. Gives no food just kills people. Line of sight also depends on difficulty (4-12 LOS),Age of Kings,Dark,N/A,,0,2,0,1.05,12,25,0,0,3,0,0,,,,4,100,0,wolf,Gaia,None
Xolotl Warrior,Mesoamerican cavalry unit. Strong vs. infantry and siege. Weak vs. Pikemen and Camel Riders.,Definitive Edition,Castle,Stable,"{""Food"": 60,""Gold"": 75}",30,1.8,0,1.35,4,100,0,0,10,2,2,,,,4,100,0,xolotl-warrior,Military,Cavalry
Zebra,Gaia unit. Provides 140 food.,Age of Kings,N/A,N/A,,N/A,0,0,0.737,2,5,0,0,0,0,0,,,,1,100,0,zebra,Gaia,None
